country,latitude,longitude,name
Andorra,42.546245,1.601554,Andorra
United Arab Emirates,23.424076,53.847818,United Arab Emirates
Afghanistan,33.93911,67.709953,Afghanistan
Antigua and Barbuda,17.060816,-61.796428,Antigua and Barbuda
Anguilla,18.220554,-63.068615,Anguilla
Albania,41.153332,20.168331,Albania
Armenia,40.069099,45.038189,Armenia
Netherlands Antilles,12.226079,-69.060087,Netherlands Antilles
Angola,-11.202692,17.873887,Angola
Antarctica,-75.250973,-0.071389,Antarctica
Argentina,-38.416097,-63.616672,Argentina
American Samoa,-14.270972,-170.132217,American Samoa
Austria,47.516231,14.550072,Austria
Australia,-25.274398,133.775136,Australia
Aruba,12.52111,-69.968338,Aruba
Azerbaijan,40.143105,47.576927,Azerbaijan
Bosnia and Herzegovina,43.915886,17.679076,Bosnia and Herzegovina
Barbados,13.193887,-59.543198,Barbados
Bangladesh,23.684994,90.356331,Bangladesh
Belgium,50.503887,4.469936,Belgium
Burkina Faso,12.238333,-1.561593,Burkina Faso
Bulgaria,42.733883,25.48583,Bulgaria
Bahrain,25.930414,50.637772,Bahrain
Burundi,-3.373056,29.918886,Burundi
Benin,9.30769,2.315834,Benin
Bermuda,32.321384,-64.75737,Bermuda
Brunei,4.535277,114.727669,Brunei
Bolivia,-16.290154,-63.588653,Bolivia
Brazil,-14.235004,-51.92528,Brazil
Bahamas,25.03428,-77.39628,Bahamas
Bhutan,27.514162,90.433601,Bhutan
Bouvet Island,-54.423199,3.413194,Bouvet Island
Botswana,-22.328474,24.684866,Botswana
Belarus,53.709807,27.953389,Belarus
Belize,17.189877,-88.49765,Belize
Canada,56.130366,-106.346771,Canada
Cocos [Keeling] Islands,-12.164165,96.870956,Cocos [Keeling] Islands
Congo [DRC],-4.038333,21.758664,Congo [DRC]
Central African Republic,6.611111,20.939444,Central African Republic
Congo [Republic],-0.228021,15.827659,Congo [Republic]
Switzerland,46.818188,8.227512,Switzerland
Côte d'Ivoire,7.539989,-5.54708,Côte d'Ivoire
Cook Islands,-21.236736,-159.777671,Cook Islands
Chile,-35.675147,-71.542969,Chile
Cameroon,7.369722,12.354722,Cameroon
China,35.86166,104.195397,China
